epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.419,2.20227,6.29469,1.96625,0.00186,0.00476,0.0015,0.00126,0.82252,5.82405,1.08697,8.94e-06,8.94e-06,8.94e-06
2,591.272,1.98444,5.58647,1.82372,0.00375,0.01349,0.00308,0.0025,0.82743,5.51027,1.00179,1.91782e-05,1.91782e-05,1.91782e-05
3,890.148,1.83985,5.17638,1.71093,0.00385,0.01429,0.00293,0.00248,0.85054,5.05501,0.9313,2.921e-05,2.921e-05,2.921e-05
4,1181.31,1.73601,4.95058,1.65346,0.00381,0.04286,0.00364,0.00304,0.88066,4.98818,0.92778,3.90352e-05,3.90352e-05,3.90352e-05
5,1475.72,1.66929,4.69012,1.60175,0.01367,0.06111,0.01072,0.00924,0.91077,5.05362,0.92959,4.86539e-05,4.86539e-05,4.86539e-05
6,1765.05,1.69034,4.54534,1.62131,0.00989,0.07937,0.01286,0.01035,0.91029,4.79101,0.92611,5.8066e-05,5.8066e-05,5.8066e-05
7,2043.49,1.47752,4.21493,1.48001,0.02069,0.09365,0.02352,0.01906,0.85013,4.24161,0.90799,6.72717e-05,6.72717e-05,6.72717e-05
8,2333.6,1.52036,4.0025,1.52736,0.02243,0.09683,0.02635,0.02156,0.81212,4.10024,0.89792,7.62709e-05,7.62709e-05,7.62709e-05
9,2614.3,1.50055,3.87097,1.50778,0.03874,0.10317,0.03729,0.02981,0.78217,3.8524,0.89097,8.50635e-05,8.50635e-05,8.50635e-05
10,2910.77,1.45895,3.68961,1.47405,0.03,0.12143,0.03908,0.03306,0.73946,3.68583,0.88122,9.36496e-05,9.36496e-05,9.36496e-05
11,3213.51,1.45125,3.56699,1.47435,0.0273,0.14444,0.04242,0.03618,0.70521,3.61962,0.87357,0.000102029,0.000102029,0.000102029
12,3510.82,1.41181,3.43656,1.44957,0.02428,0.16984,0.04903,0.04165,0.71395,3.54041,0.87326,0.000110202,0.000110202,0.000110202
