epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.464,2.16455,6.19122,1.93424,0.00386,0.01032,0.00199,0.00176,0.84231,5.36099,1.08037,2.4e-05,2.4e-05,2.4e-05
2,616.287,1.85433,4.70817,1.72671,0.0373,0.05082,0.03071,0.02477,0.9347,4.3513,0.95522,5.14852e-05,5.14852e-05,5.14852e-05
3,912.241,1.66556,3.88558,1.55276,0.06194,0.13879,0.05085,0.04082,0.93053,3.47944,0.91415,7.8416e-05,7.8416e-05,7.8416e-05
4,1236.33,1.53571,3.40773,1.49128,0.04146,0.16807,0.04706,0.03778,0.88059,3.12179,0.89162,0.000104792,0.000104792,0.000104792
5,1537.68,1.47234,3.03423,1.44846,0.06047,0.20581,0.06446,0.0552,0.7556,2.7634,0.85392,0.000130614,0.000130614,0.000130614
6,1846.12,1.49426,2.87882,1.46694,0.1986,0.16754,0.07479,0.06273,0.78026,2.81601,0.84354,0.000155882,0.000155882,0.000155882
7,2146.35,1.31996,2.60048,1.36979,0.09033,0.22252,0.10091,0.08612,0.7129,2.70017,0.83644,0.000180595,0.000180595,0.000180595
8,2441.6,1.34124,2.45773,1.39824,0.14488,0.25374,0.11186,0.09444,0.74082,2.56752,0.83876,0.000204754,0.000204754,0.000204754
9,2748.79,1.30779,2.34956,1.36591,0.23659,0.1876,0.10657,0.09123,0.72079,2.80247,0.83141,0.000228358,0.000228358,0.000228358
10,3056.25,1.26107,2.20261,1.30973,0.24388,0.19617,0.11973,0.10564,0.63671,2.72096,0.82103,0.000251408,0.000251408,0.000251408
11,3346.01,1.25959,2.05838,1.2968,0.13273,0.29032,0.13275,0.11679,0.60933,2.70081,0.81967,0.000273904,0.000273904,0.000273904
12,3641.5,1.208,1.96891,1.28533,0.0897,0.4013,0.15097,0.1297,0.64223,2.46524,0.82113,0.000295845,0.000295845,0.000295845
13,3921.17,1.28654,1.94213,1.3294,0.09073,0.37053,0.14972,0.12778,0.65563,2.56091,0.82268,0.000317232,0.000317232,0.000317232
14,4199.06,1.21327,1.82108,1.27561,0.10033,0.41494,0.16372,0.14139,0.63182,2.47399,0.81549,0.000338064,0.000338064,0.000338064
15,4474.75,1.25664,1.79986,1.30197,0.27349,0.32847,0.21208,0.18113,0.62753,2.25659,0.81494,0.00034456,0.00034456,0.00034456
16,4755.49,1.21747,1.70573,1.26936,0.51492,0.31374,0.25366,0.21874,0.63982,1.93012,0.816,0.0003406,0.0003406,0.0003406
17,5042.31,1.21499,1.66499,1.2568,0.53326,0.31013,0.2524,0.21679,0.64297,1.91348,0.81718,0.00033664,0.00033664,0.00033664
18,5327.98,1.22022,1.64083,1.28318,0.4015,0.29283,0.19247,0.16492,0.65289,2.3643,0.82607,0.00033268,0.00033268,0.00033268
