epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3328,1.55455,4.44466,1.44925,0.02887,0.18452,0.03163,0.025,0.92923,3.43272,0.84182,5.2e-05,5.2e-05,5.2e-05
2,30.8963,1.30669,3.07563,1.28342,0.0554,0.29621,0.06052,0.04721,0.96158,3.17259,0.82676,0.000106931,0.000106931,0.000106931
3,47.9228,1.14136,2.39557,1.16104,0.18235,0.24895,0.12514,0.10033,0.82094,3.38838,0.81232,0.000160753,0.000160753,0.000160753
4,65.1966,1.01341,2.07979,1.12339,0.25704,0.3306,0.19264,0.1527,0.90326,2.49827,0.82242,0.000213466,0.000213466,0.000213466
5,84.356,0.94855,1.83434,1.0969,0.27727,0.34961,0.25024,0.20449,0.80836,2.04247,0.81589,0.00026507,0.00026507,0.00026507
6,104.837,0.9879,1.72518,1.08563,0.34773,0.47903,0.33659,0.27621,0.78836,1.78991,0.80927,0.000315566,0.000315566,0.000315566
7,125.816,0.95539,1.58653,1.095,0.34958,0.47457,0.37286,0.30656,0.7672,1.51838,0.80747,0.000364953,0.000364953,0.000364953
8,145.863,0.96908,1.49806,1.10125,0.44452,0.49952,0.38239,0.31252,0.75055,1.52385,0.80622,0.00037228,0.00037228,0.00037228
9,167.506,0.95827,1.41899,1.09288,0.42023,0.58403,0.4901,0.41303,0.65475,1.41221,0.79886,0.00036832,0.00036832,0.00036832
10,189.982,0.9371,1.34539,1.08829,0.48681,0.6356,0.57172,0.47849,0.6706,1.22168,0.80059,0.00036436,0.00036436,0.00036436
11,212.248,0.90895,1.28651,1.06348,0.45765,0.67752,0.60181,0.50162,0.66505,1.11793,0.79832,0.0003604,0.0003604,0.0003604
12,234.254,0.86526,1.15671,1.05426,0.51486,0.69922,0.64256,0.53995,0.65983,0.97776,0.7984,0.00035644,0.00035644,0.00035644
13,257.246,0.88688,1.12018,1.06436,0.55698,0.72844,0.69009,0.57818,0.68687,0.82179,0.79931,0.00035248,0.00035248,0.00035248
14,279.364,0.88711,1.13768,1.04464,0.58886,0.72825,0.69952,0.58755,0.65689,0.73736,0.79697,0.00034852,0.00034852,0.00034852
15,301.674,0.8782,1.04816,1.06799,0.62986,0.74138,0.71374,0.59111,0.71037,0.69488,0.80179,0.00034456,0.00034456,0.00034456
16,323.777,0.86166,1.00599,1.04478,0.65252,0.7559,0.71984,0.60603,0.65824,0.66195,0.79796,0.0003406,0.0003406,0.0003406
17,346.324,0.82039,0.96882,1.04574,0.69244,0.70178,0.72798,0.60462,0.68263,0.65045,0.79961,0.00033664,0.00033664,0.00033664
18,368.918,0.87625,1.00642,1.0519,0.79607,0.67944,0.72047,0.6008,0.66933,0.62216,0.79707,0.00033268,0.00033268,0.00033268
19,391.912,0.82083,0.9279,1.03423,0.79337,0.70356,0.72894,0.6163,0.64744,0.59424,0.79371,0.00032872,0.00032872,0.00032872
20,418.343,0.81989,0.90117,1.03883,0.68487,0.7598,0.73359,0.60127,0.73299,0.59152,0.80117,0.00032476,0.00032476,0.00032476
21,442.414,0.81586,0.86675,1.02046,0.67489,0.75531,0.73389,0.61972,0.64277,0.56314,0.79358,0.0003208,0.0003208,0.0003208
22,466.498,0.81604,0.88336,1.01571,0.68511,0.76717,0.74873,0.62814,0.65734,0.57297,0.79529,0.00031684,0.00031684,0.00031684
23,489.08,0.81907,0.89864,1.02758,0.72653,0.75531,0.75415,0.63159,0.6581,0.56254,0.79489,0.00031288,0.00031288,0.00031288
24,513.824,0.82656,0.86665,1.01963,0.71393,0.74863,0.75507,0.63094,0.67077,0.61022,0.79552,0.00030892,0.00030892,0.00030892
25,540.203,0.7933,0.84761,1.01182,0.7093,0.73469,0.75353,0.62397,0.6754,0.59376,0.79549,0.00030496,0.00030496,0.00030496
26,563.658,0.79858,0.83654,1.0242,0.73311,0.72549,0.76744,0.63915,0.64924,0.57819,0.79247,0.000301,0.000301,0.000301
27,586.674,0.76585,0.78866,0.99735,0.68184,0.80003,0.77712,0.64782,0.64635,0.5914,0.79304,0.00029704,0.00029704,0.00029704
28,609.794,0.79783,0.80914,1.02995,0.74717,0.77896,0.80228,0.66357,0.6711,0.57027,0.79478,0.00029308,0.00029308,0.00029308
29,636.213,0.78159,0.80695,1.02752,0.77924,0.78486,0.83302,0.68615,0.63357,0.54042,0.79376,0.00028912,0.00028912,0.00028912
30,660.65,0.82324,0.87388,1.03568,0.77909,0.80955,0.83653,0.67969,0.65217,0.51889,0.79489,0.00028516,0.00028516,0.00028516
31,686.702,0.79964,0.81595,1.04493,0.76284,0.82136,0.83144,0.67675,0.65545,0.51869,0.79525,0.0002812,0.0002812,0.0002812
32,713.011,0.78295,0.78779,1.01753,0.74345,0.84764,0.82707,0.68542,0.61621,0.5429,0.79232,0.00027724,0.00027724,0.00027724
33,737.221,0.78486,0.76347,1.01346,0.74283,0.86982,0.84514,0.70107,0.6176,0.50726,0.78982,0.00027328,0.00027328,0.00027328
34,761.501,0.75558,0.73018,0.99829,0.78421,0.86792,0.85753,0.70829,0.61954,0.46423,0.79024,0.00026932,0.00026932,0.00026932
35,786.752,0.74296,0.71692,0.98925,0.80894,0.87583,0.86232,0.71145,0.63559,0.45113,0.79129,0.00026536,0.00026536,0.00026536
36,811.183,0.78185,0.77213,1.02516,0.86837,0.83574,0.87291,0.71892,0.65087,0.46237,0.79361,0.0002614,0.0002614,0.0002614
37,835.276,0.74051,0.70787,1.01096,0.82735,0.85957,0.87042,0.72212,0.61473,0.44694,0.78969,0.00025744,0.00025744,0.00025744
38,858.769,0.78581,0.78629,1.03498,0.83384,0.87588,0.87197,0.71888,0.64033,0.44227,0.79009,0.00025348,0.00025348,0.00025348
39,882.958,0.73395,0.7063,1,0.83525,0.86451,0.87306,0.71927,0.63055,0.44387,0.78878,0.00024952,0.00024952,0.00024952
40,907.356,0.74936,0.70867,1.00056,0.876,0.81333,0.87493,0.72425,0.58536,0.44396,0.78472,0.00024556,0.00024556,0.00024556
41,930.989,0.75249,0.70441,1.00615,0.83096,0.84625,0.88065,0.72559,0.6211,0.45038,0.78865,0.0002416,0.0002416,0.0002416
42,954.468,0.77521,0.73919,1.01636,0.86989,0.856,0.88504,0.73278,0.6151,0.43983,0.78904,0.00023764,0.00023764,0.00023764
43,979.305,0.76061,0.71349,1.01158,0.86011,0.85124,0.88365,0.72781,0.63759,0.44484,0.79065,0.00023368,0.00023368,0.00023368
44,1003.82,0.70726,0.64289,0.97616,0.8087,0.85521,0.88233,0.72471,0.62827,0.43064,0.7892,0.00022972,0.00022972,0.00022972
45,1029.06,0.72823,0.68989,0.99585,0.86171,0.84165,0.88615,0.73503,0.61129,0.43478,0.788,0.00022576,0.00022576,0.00022576
46,1053.59,0.74537,0.70992,1.00842,0.82031,0.86344,0.88667,0.73962,0.5992,0.42572,0.78678,0.0002218,0.0002218,0.0002218
47,1082.2,0.69754,0.63671,0.96732,0.81696,0.85146,0.8808,0.73469,0.59113,0.42554,0.78627,0.00021784,0.00021784,0.00021784
48,1115.16,0.71797,0.67778,0.99461,0.87171,0.86637,0.90465,0.74919,0.62407,0.42603,0.78984,0.00021388,0.00021388,0.00021388
49,1149.7,0.73808,0.66356,0.99453,0.88483,0.8707,0.91398,0.75839,0.6226,0.4373,0.79051,0.00020992,0.00020992,0.00020992
50,1180.32,0.71895,0.64769,0.98828,0.87507,0.87909,0.91316,0.76111,0.60929,0.42837,0.78801,0.00020596,0.00020596,0.00020596
51,1207.65,0.69714,0.63067,0.98843,0.89124,0.8686,0.91916,0.76455,0.63296,0.41972,0.78913,0.000202,0.000202,0.000202
52,1236.95,0.70715,0.64756,0.99863,0.85661,0.91683,0.92537,0.76526,0.63218,0.4122,0.7881,0.00019804,0.00019804,0.00019804
53,1265.07,0.70313,0.63689,0.9789,0.89154,0.89344,0.92428,0.76828,0.62763,0.40276,0.78685,0.00019408,0.00019408,0.00019408
54,1291.55,0.72416,0.65945,0.98944,0.90077,0.88682,0.92692,0.77113,0.61079,0.39948,0.78669,0.00019012,0.00019012,0.00019012
55,1315.5,0.71193,0.65117,0.98943,0.88888,0.89525,0.92823,0.77078,0.61074,0.40441,0.7868,0.00018616,0.00018616,0.00018616
56,1339.45,0.67723,0.60821,0.96767,0.88292,0.87276,0.9303,0.76935,0.62338,0.40773,0.7869,0.0001822,0.0001822,0.0001822
57,1366.97,0.68643,0.61754,0.97709,0.85526,0.90767,0.93555,0.77633,0.62256,0.40681,0.78688,0.00017824,0.00017824,0.00017824
58,1392.61,0.72117,0.65146,0.98905,0.88101,0.93035,0.94189,0.78479,0.61188,0.40501,0.78587,0.00017428,0.00017428,0.00017428
59,1419.46,0.7162,0.63543,0.99449,0.89588,0.91275,0.94324,0.78586,0.59568,0.39911,0.78502,0.00017032,0.00017032,0.00017032
60,1446.7,0.68787,0.61756,0.9869,0.92414,0.88286,0.94007,0.78078,0.59781,0.40428,0.7861,0.00016636,0.00016636,0.00016636
61,1474.13,0.71858,0.63347,1.01237,0.91577,0.89076,0.93562,0.7777,0.59549,0.39769,0.78482,0.0001624,0.0001624,0.0001624
62,1502.44,0.68262,0.6051,0.96769,0.90296,0.87834,0.92775,0.76326,0.63582,0.40735,0.78778,0.00015844,0.00015844,0.00015844
63,1529.21,0.67779,0.611,0.98307,0.90484,0.89272,0.93428,0.7653,0.62729,0.39745,0.78772,0.00015448,0.00015448,0.00015448
64,1560.63,0.66088,0.57695,0.96212,0.92427,0.90194,0.93992,0.77241,0.59374,0.37969,0.78592,0.00015052,0.00015052,0.00015052
65,1599.38,0.68243,0.59079,0.96659,0.92554,0.907,0.94672,0.7784,0.60213,0.37721,0.78695,0.00014656,0.00014656,0.00014656
66,1635.81,0.67038,0.58753,0.96654,0.90849,0.92893,0.95312,0.7866,0.61655,0.38291,0.78735,0.0001426,0.0001426,0.0001426
67,1673.4,0.71446,0.62576,0.98274,0.92981,0.91086,0.95271,0.79344,0.59652,0.37344,0.78553,0.00013864,0.00013864,0.00013864
68,1714.54,0.68584,0.611,0.9863,0.92063,0.90348,0.94908,0.78822,0.5743,0.37084,0.7842,0.00013468,0.00013468,0.00013468
