epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.211,1.70242,4.35816,1.59275,0.03203,0.13593,0.02852,0.02284,0.83488,4.02499,0.92669,5.2e-05,5.2e-05,5.2e-05
2,499.985,1.51783,3.12781,1.46229,0.29402,0.10354,0.06154,0.04906,0.87782,2.87945,0.9091,0.000107465,0.000107465,0.000107465
3,739.384,1.27448,2.53538,1.31731,0.06381,0.31419,0.09761,0.08203,0.72153,2.99822,0.86314,0.000162376,0.000162376,0.000162376
4,998.931,1.12746,2.23309,1.23232,0.06139,0.30952,0.10105,0.08256,0.75139,3.14504,0.86551,0.000216733,0.000216733,0.000216733
5,1234.53,1.06942,2.0321,1.19961,0.12975,0.30803,0.13824,0.11507,0.75818,2.41992,0.87621,0.000270535,0.000270535,0.000270535
6,1499.68,1.09499,1.934,1.19484,0.15589,0.40718,0.20014,0.17125,0.68042,2.44953,0.87458,0.000323783,0.000323783,0.000323783
7,1754.21,1.11621,1.87564,1.23183,0.1692,0.39484,0.20684,0.17454,0.71879,2.82434,0.87992,0.000376476,0.000376476,0.000376476
8,2008.66,1.14747,1.8101,1.24128,0.37518,0.32352,0.28714,0.23765,0.73955,1.95123,0.87655,0.00038614,0.00038614,0.00038614
9,2264.43,1.10548,1.6661,1.20835,0.15811,0.41137,0.20225,0.17073,0.65808,2.5184,0.85666,0.00038416,0.00038416,0.00038416
10,2525.16,1.09756,1.60402,1.22808,0.14445,0.38839,0.1827,0.15227,0.66477,2.40827,0.86535,0.00038218,0.00038218,0.00038218
11,2798,1.03432,1.48703,1.17225,0.28951,0.44931,0.2906,0.24098,0.71599,1.88615,0.87427,0.0003802,0.0003802,0.0003802
12,3018.71,1.01367,1.41782,1.18034,0.33036,0.46392,0.38024,0.32481,0.63297,1.60703,0.86095,0.00037822,0.00037822,0.00037822
13,3259.86,1.03569,1.38345,1.18389,0.54277,0.59056,0.55725,0.47306,0.6632,1.11726,0.87313,0.00037624,0.00037624,0.00037624
