epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4433,1.84417,5.68974,1.16764,0,0,0,0,2.21019,5.665,1.33081,9.24e-06,9.24e-06,9.24e-06
2,74.8963,1.30931,5.38552,0.99666,0.00148,0.01475,0.00142,0.00121,0.73809,inf,0.91139,1.98218e-05,1.98218e-05,1.98218e-05
3,114.09,0.75788,4.73817,0.87484,0.01149,0.06803,0.01091,0.00867,0.70061,4.37516,0.81942,3.01902e-05,3.01902e-05,3.01902e-05
4,160.755,0.7158,4.38429,0.84771,0.02543,0.10082,0.01809,0.01613,0.67503,3.93212,0.81067,4.03451e-05,4.03451e-05,4.03451e-05
5,202.87,0.64978,3.89862,0.83292,0.06312,0.2241,0.07329,0.06394,0.60567,3.43221,0.80045,5.02865e-05,5.02865e-05,5.02865e-05
6,250.713,0.62967,3.3479,0.82256,0.19294,0.27257,0.12942,0.10931,0.62169,3.32084,0.80089,6.00146e-05,6.00146e-05,6.00146e-05
7,297.107,0.58862,2.73747,0.81652,0.23854,0.45672,0.3165,0.27334,0.58148,3.15799,0.79858,6.95292e-05,6.95292e-05,6.95292e-05
8,345.683,0.58745,2.27069,0.81181,0.33004,0.5406,0.43252,0.37649,0.56788,2.66962,0.79748,7.88303e-05,7.88303e-05,7.88303e-05
9,391.683,0.56927,1.8516,0.80823,0.61673,0.59092,0.61287,0.53377,0.56385,1.83574,0.79799,8.7918e-05,8.7918e-05,8.7918e-05
10,438.219,0.5534,1.53195,0.81019,0.67766,0.69795,0.73437,0.63883,0.54898,1.55766,0.79765,9.67922e-05,9.67922e-05,9.67922e-05
11,486.781,0.5302,1.28148,0.80731,0.69755,0.76114,0.82814,0.72447,0.53446,1.3165,0.79715,0.000105453,0.000105453,0.000105453
12,536.037,0.53963,1.10103,0.80608,0.71274,0.84364,0.88935,0.77956,0.52879,1.00948,0.79648,0.0001139,0.0001139,0.0001139
13,580.762,0.53367,0.91664,0.80583,0.752,0.86391,0.90217,0.79105,0.52651,0.90994,0.79641,0.000122134,0.000122134,0.000122134
14,629.89,0.53255,0.84915,0.80393,0.81081,0.88015,0.94141,0.82636,0.53169,0.79743,0.79738,0.000130155,0.000130155,0.000130155
15,678.352,0.52974,0.8009,0.8017,0.86765,0.90819,0.96715,0.854,0.52364,0.73617,0.79729,0.000132656,0.000132656,0.000132656
16,718.849,0.50962,0.70321,0.80353,0.89642,0.93906,0.98064,0.86677,0.51306,0.64949,0.79526,0.000131131,0.000131131,0.000131131
17,768.321,0.5214,0.67158,0.80715,0.89947,0.9441,0.98332,0.86838,0.51936,0.61501,0.79549,0.000129606,0.000129606,0.000129606
18,817.683,0.52362,0.65283,0.79871,0.9173,0.96027,0.98664,0.87431,0.51215,0.56631,0.79542,0.000128082,0.000128082,0.000128082
19,865.495,0.52493,0.60033,0.80174,0.93015,0.96287,0.98798,0.87583,0.50338,0.57075,0.79393,0.000126557,0.000126557,0.000126557
20,916.831,0.52295,0.61135,0.80302,0.95922,0.97596,0.99051,0.87794,0.50491,0.51491,0.79408,0.000125033,0.000125033,0.000125033
21,967.953,0.5179,0.55155,0.7969,0.96821,0.97766,0.99137,0.88192,0.50279,0.4927,0.79382,0.000123508,0.000123508,0.000123508
22,1015.77,0.50183,0.51357,0.80168,0.96827,0.97802,0.99153,0.88472,0.49238,0.49479,0.79244,0.000121983,0.000121983,0.000121983
23,1062.64,0.50436,0.50701,0.80041,0.97365,0.98291,0.9928,0.88327,0.49951,0.47924,0.79325,0.000120459,0.000120459,0.000120459
24,1109.02,0.51701,0.53416,0.80372,0.97951,0.99163,0.99428,0.88199,0.50628,0.41536,0.79403,0.000118934,0.000118934,0.000118934
25,1154.94,0.49484,0.48534,0.80005,0.98018,0.99416,0.99461,0.88489,0.49264,0.3921,0.79249,0.00011741,0.00011741,0.00011741
26,1200.06,0.49021,0.45978,0.79712,0.98589,0.99194,0.995,0.88808,0.486,0.37373,0.79053,0.000115885,0.000115885,0.000115885
27,1244.29,0.4815,0.47601,0.79834,0.98364,0.99322,0.99488,0.88819,0.48028,0.38981,0.7904,0.00011436,0.00011436,0.00011436
28,1291.85,0.493,0.47364,0.79727,0.98489,0.99777,0.99459,0.88397,0.48978,0.39784,0.79105,0.000112836,0.000112836,0.000112836
29,1341.76,0.49156,0.45633,0.79771,0.98621,0.99764,0.99496,0.88539,0.48569,0.3921,0.79049,0.000111311,0.000111311,0.000111311
30,1400.39,0.48537,0.44111,0.79785,0.98736,0.99476,0.995,0.88596,0.48034,0.36595,0.78992,0.000109787,0.000109787,0.000109787
31,1445.43,0.48229,0.43009,0.7974,0.98871,0.99639,0.99496,0.88506,0.48993,0.35446,0.79056,0.000108262,0.000108262,0.000108262
32,1496.22,0.47999,0.42609,0.79645,0.98781,0.99396,0.9945,0.8866,0.48321,0.35064,0.7893,0.000106737,0.000106737,0.000106737
33,1542.97,0.46824,0.42342,0.79496,0.98825,0.99776,0.99456,0.88905,0.47995,0.34362,0.78921,0.000105213,0.000105213,0.000105213
34,1597.04,0.46968,0.41429,0.79628,0.99221,0.99717,0.995,0.88947,0.47751,0.33438,0.78944,0.000103688,0.000103688,0.000103688
35,1643.22,0.47095,0.40094,0.79738,0.98838,0.99764,0.995,0.88661,0.47743,0.33688,0.78931,0.000102164,0.000102164,0.000102164
36,1692.4,0.46638,0.4042,0.80166,0.98877,0.99628,0.99492,0.89068,0.47505,0.34854,0.78892,0.000100639,0.000100639,0.000100639
37,1741.51,0.46424,0.3954,0.79656,0.99165,0.99661,0.99488,0.88998,0.47527,0.34538,0.78911,9.91144e-05,9.91144e-05,9.91144e-05
38,1781.58,0.46179,0.39705,0.79626,0.99039,0.99427,0.99484,0.88895,0.47619,0.3386,0.78927,9.75898e-05,9.75898e-05,9.75898e-05
39,1829.74,0.46459,0.39845,0.79584,0.9884,0.99637,0.99488,0.88943,0.47091,0.33612,0.78848,9.60652e-05,9.60652e-05,9.60652e-05
40,1876.77,0.4792,0.41,0.79278,0.98642,0.99851,0.99484,0.88972,0.47261,0.33556,0.78862,9.45406e-05,9.45406e-05,9.45406e-05
41,1927.05,0.46705,0.40132,0.79473,0.98904,0.99689,0.995,0.88837,0.47646,0.33578,0.78902,9.3016e-05,9.3016e-05,9.3016e-05
