epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7017,1.71732,4.56929,1.05893,0.00877,0.01311,0.00507,0.0043,1.04722,4.27838,0.979,4.002e-05,4.002e-05,4.002e-05
2,22.3652,0.90104,3.25208,0.87129,0.28684,0.53513,0.26292,0.20664,0.83113,3.59235,0.79807,8.49931e-05,8.49931e-05,8.49931e-05
3,33.0864,0.77088,1.70399,0.83302,0.49353,0.65991,0.6033,0.50398,0.68484,4.96216,0.78062,0.000128117,0.000128117,0.000128117
4,43.5081,0.64953,1.08809,0.82369,0.70825,0.71749,0.75946,0.63627,0.63808,1.94808,0.77867,0.000169393,0.000169393,0.000169393
5,54.4414,0.63058,0.84934,0.81249,0.75172,0.84306,0.92657,0.7971,0.60362,1.20131,0.7773,0.000208819,0.000208819,0.000208819
6,66.0024,0.5957,0.64063,0.81183,0.87529,0.89767,0.95951,0.83254,0.58189,0.83715,0.77596,0.000246396,0.000246396,0.000246396
7,76.4871,0.58818,0.54967,0.80964,0.96259,0.93814,0.98606,0.84605,0.61393,0.62858,0.77976,0.000282125,0.000282125,0.000282125
8,87.437,0.5678,0.48004,0.80001,0.96311,0.96284,0.99415,0.8694,0.56437,0.55069,0.77474,0.000316005,0.000316005,0.000316005
9,98.2113,0.53709,0.43662,0.79983,0.96907,0.98542,0.99498,0.87938,0.53702,0.44238,0.77269,0.000348035,0.000348035,0.000348035
10,108.971,0.53489,0.40614,0.79806,0.95779,0.97329,0.99499,0.87515,0.54766,0.44656,0.77361,0.000378217,0.000378217,0.000378217
11,119.991,0.53133,0.38766,0.79705,0.98765,0.99562,0.995,0.86903,0.57046,0.41394,0.77598,0.00040655,0.00040655,0.00040655
12,131.83,0.54874,0.38636,0.79758,0.99396,0.99898,0.995,0.87224,0.5327,0.40884,0.77203,0.000433034,0.000433034,0.000433034
13,145.447,0.53657,0.3741,0.80124,0.99515,0.99911,0.995,0.87787,0.50555,0.37955,0.76978,0.000457669,0.000457669,0.000457669
14,158.152,0.51975,0.35711,0.79597,0.99841,1,0.995,0.87775,0.53546,0.3598,0.77006,0.000480455,0.000480455,0.000480455
15,171.123,0.52159,0.34611,0.79587,0.99763,1,0.995,0.88582,0.50589,0.33381,0.76828,0.000482108,0.000482108,0.000482108
16,184.644,0.51139,0.34288,0.79541,0.99712,0.99991,0.995,0.86949,0.55698,0.34463,0.77243,0.000468901,0.000468901,0.000468901
17,197.789,0.53141,0.33796,0.7921,0.9968,1,0.995,0.8842,0.50849,0.3326,0.76923,0.000455694,0.000455694,0.000455694
18,210.908,0.49989,0.32387,0.79338,0.99843,1,0.995,0.88928,0.49189,0.31653,0.76739,0.000442488,0.000442488,0.000442488
19,224.308,0.52675,0.32425,0.79779,0.99857,1,0.995,0.8888,0.4921,0.30956,0.76798,0.000429281,0.000429281,0.000429281
20,237.611,0.50571,0.32148,0.79395,0.99824,1,0.995,0.88738,0.48662,0.31904,0.76838,0.000416075,0.000416075,0.000416075
21,250.917,0.50883,0.32085,0.79519,0.99839,1,0.995,0.88191,0.49894,0.31654,0.76906,0.000402868,0.000402868,0.000402868
22,263.538,0.48801,0.312,0.78955,0.99896,0.99988,0.995,0.88759,0.48424,0.3032,0.76744,0.000389661,0.000389661,0.000389661
23,275.866,0.47476,0.31127,0.7877,0.99837,1,0.995,0.89324,0.47225,0.3027,0.76791,0.000376455,0.000376455,0.000376455
24,287.494,0.48549,0.30742,0.79204,0.9983,1,0.995,0.89228,0.48085,0.30556,0.76678,0.000363248,0.000363248,0.000363248
25,299.198,0.47372,0.30928,0.78451,0.9985,1,0.995,0.89074,0.49091,0.30754,0.76719,0.000350042,0.000350042,0.000350042
26,311.921,0.50024,0.31084,0.79144,0.99824,1,0.995,0.89192,0.47533,0.30309,0.76825,0.000336835,0.000336835,0.000336835
27,324.721,0.48685,0.30375,0.7883,0.99834,0.99991,0.995,0.89224,0.47415,0.28864,0.76764,0.000323628,0.000323628,0.000323628
28,338.736,0.48046,0.29397,0.78776,0.99844,0.85,0.86198,0.77563,0.47213,0.27936,0.76653,0.000310422,0.000310422,0.000310422
29,353.796,0.47041,0.2858,0.78931,0.99869,0.95,0.95123,0.85993,0.46829,0.27498,0.76608,0.000297215,0.000297215,0.000297215
30,368.732,0.45699,0.2751,0.79125,0.9981,0.89994,0.90634,0.81779,0.46537,0.27149,0.76694,0.000284009,0.000284009,0.000284009
31,384.873,0.47604,0.28434,0.79029,0.99774,0.69984,0.72742,0.65037,0.47297,0.28163,0.76812,0.000270802,0.000270802,0.000270802
32,401.786,0.45772,0.27857,0.7822,0.99827,0.85,0.8618,0.77928,0.46054,0.26588,0.76684,0.000257595,0.000257595,0.000257595
33,418.454,0.45366,0.27333,0.789,0.99796,0.8,0.81693,0.73689,0.46262,0.26383,0.76679,0.000244389,0.000244389,0.000244389
