epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6471,2.47586,8.39908,1.82054,0.46131,0.7,0.39747,0.18234,1.64392,11.4824,1.36978,0.00021671,0.00021671,0.00021671
2,23.2566,1.38902,2.55262,1.18731,0.58564,0.68441,0.7003,0.43249,1.49004,4.776,1.47446,0.000441178,0.000441178,0.000441178
3,35.731,1.32588,1.80655,1.19469,0.67292,0.74508,0.75345,0.45069,1.4007,4.04598,1.48676,0.000656405,0.000656405,0.000656405
4,48.2612,1.24189,1.45481,1.19143,0.45295,0.68903,0.37728,0.24399,1.3788,5.18222,1.43195,0.000862389,0.000862389,0.000862389
5,62.2139,1.21261,1.11595,1.17525,0.68533,0.67484,0.83281,0.48531,1.38646,2.81604,1.48592,0.00105913,0.00105913,0.00105913
6,76.0335,1.29707,1.06706,1.21437,0.72113,0.8595,0.83696,0.43047,1.49699,1.55814,1.57133,0.00124663,0.00124663,0.00124663
7,91.6632,1.32516,1.10436,1.24479,0.53655,1,0.8642,0.47406,1.42111,1.88129,1.4891,0.00142489,0.00142489,0.00142489
8,107.723,1.19782,0.93587,1.15108,0.54542,0.975,0.68279,0.40097,1.47361,4.26319,1.55643,0.00143595,0.00143595,0.00143595
9,122.648,1.21358,0.86931,1.15537,0.91903,0.76928,0.88734,0.52444,1.43655,1.23729,1.47013,0.00140295,0.00140295,0.00140295
10,139.039,1.28063,0.85374,1.17292,0.64829,0.75,0.67936,0.44502,1.35157,1.19912,1.48615,0.00136994,0.00136994,0.00136994
11,154.315,1.23861,0.84592,1.21772,0.89606,0.95,0.96405,0.55159,1.38537,1.01401,1.5157,0.00133693,0.00133693,0.00133693
12,169.638,1.21176,0.75632,1.21084,0.9265,0.99308,0.98244,0.56923,1.40112,0.96461,1.41074,0.00130393,0.00130393,0.00130393
13,186.135,1.15851,0.72843,1.14528,0.86203,0.92719,0.90469,0.57319,1.30349,0.874,1.419,0.00127092,0.00127092,0.00127092
14,202.2,1.12993,0.74087,1.1822,0.96031,0.95,0.98936,0.60582,1.3078,0.79339,1.36741,0.00123791,0.00123791,0.00123791
15,217.496,1.12648,0.69279,1.10405,0.88166,1,0.9641,0.60687,1.304,0.7694,1.42894,0.00120491,0.00120491,0.00120491
16,233.859,1.09321,0.64953,1.13253,0.95096,0.95191,0.98153,0.67264,1.17092,0.76999,1.37002,0.0011719,0.0011719,0.0011719
17,249.715,1.0712,0.6445,1.14488,0.94458,0.96274,0.98614,0.65498,1.34333,0.75031,1.45298,0.00113889,0.00113889,0.00113889
18,265.804,1.01817,0.58115,1.09112,0.93002,1,0.99174,0.69944,1.29883,0.71045,1.47726,0.00110589,0.00110589,0.00110589
19,281.955,0.97369,0.56624,1.07108,0.93841,1,0.995,0.7061,1.2133,0.64111,1.40379,0.00107288,0.00107288,0.00107288
20,299.344,1.0003,0.60173,1.12578,0.97077,1,0.99381,0.59995,1.49009,0.742,1.72622,0.00103987,0.00103987,0.00103987
21,314.685,0.99533,0.56715,1.10579,0.87743,1,0.99148,0.69453,1.22628,0.79441,1.37403,0.00100687,0.00100687,0.00100687
22,329.748,1.03117,0.58874,1.07205,0.82077,1,0.95226,0.56956,1.42884,0.71914,1.57736,0.000973861,0.000973861,0.000973861
23,345.699,1.02493,0.56895,1.08199,0.82265,1,0.94939,0.63411,1.26196,0.66617,1.3493,0.000940855,0.000940855,0.000940855
24,361.997,1.00368,0.56173,1.09887,0.96527,1,0.99381,0.65874,1.27378,0.6902,1.30055,0.000907848,0.000907848,0.000907848
25,379.088,1.01093,0.53794,1.06723,0.9051,0.9,0.95403,0.69638,1.23991,0.632,1.2472,0.000874842,0.000874842,0.000874842
26,394.976,0.96027,0.52623,1.0512,0.89633,0.95,0.96724,0.69774,1.22545,0.6465,1.29728,0.000841835,0.000841835,0.000841835
27,411.186,0.94477,0.51647,1.06836,0.97205,0.9681,0.99148,0.69441,1.24617,0.68297,1.33823,0.000808828,0.000808828,0.000808828
28,426.547,0.96668,0.51751,1.04763,0.96979,0.9847,0.99381,0.7225,1.16916,0.6167,1.27149,0.000775822,0.000775822,0.000775822
29,442.31,0.96219,0.52623,1.05029,0.99414,1,0.995,0.71643,1.10785,0.57589,1.27596,0.000742815,0.000742815,0.000742815
30,458.555,0.9605,0.52582,1.0757,0.9935,1,0.995,0.70436,1.09811,0.52776,1.2518,0.000709809,0.000709809,0.000709809
31,474.569,0.9001,0.50861,1.06038,0.99121,1,0.995,0.6992,1.07812,0.53062,1.24847,0.000676802,0.000676802,0.000676802
32,491.828,0.92746,0.50956,1.06741,0.96312,1,0.99262,0.7284,1.06971,0.51899,1.22946,0.000643795,0.000643795,0.000643795
33,509.809,0.90754,0.50261,1.0527,0.96769,1,0.99262,0.72213,1.1036,0.53802,1.22349,0.000610789,0.000610789,0.000610789
34,526.099,0.89962,0.49132,1.02513,0.96039,1,0.99143,0.73582,1.15741,0.53393,1.25774,0.000577782,0.000577782,0.000577782
35,545.504,0.96044,0.51912,1.04847,0.95982,1,0.99143,0.74039,1.1427,0.55563,1.26,0.000544776,0.000544776,0.000544776
36,561.023,0.90142,0.48198,1.02022,0.98991,1,0.995,0.73503,1.07277,0.53011,1.27138,0.000511769,0.000511769,0.000511769
37,576.544,0.87718,0.4792,1.01374,0.99427,1,0.995,0.72896,1.04597,0.51477,1.25339,0.000478762,0.000478762,0.000478762
38,592.091,0.88974,0.49692,1.02994,0.99563,1,0.995,0.73908,1.07054,0.51704,1.25293,0.000445756,0.000445756,0.000445756
39,609.266,0.86542,0.48337,1.02765,0.99565,1,0.995,0.7346,1.07021,0.5088,1.25701,0.000412749,0.000412749,0.000412749
40,626.707,0.89298,0.47842,1.01358,0.99339,1,0.995,0.75677,1.05538,0.5076,1.24664,0.000379743,0.000379743,0.000379743
41,698.272,0.86194,0.48148,1.02262,0.98302,1,0.995,0.77932,0.98094,0.47708,1.20299,0.000346736,0.000346736,0.000346736
42,710.39,0.88785,0.49178,1.01011,0.99316,1,0.995,0.75022,1.01454,0.50665,1.20904,0.000313729,0.000313729,0.000313729
43,723.668,0.83243,0.48464,0.99832,0.99365,1,0.995,0.74767,1.03795,0.50211,1.21045,0.000280723,0.000280723,0.000280723
44,737.754,0.86676,0.483,0.99386,0.99377,1,0.995,0.74998,1.06736,0.51136,1.20746,0.000247716,0.000247716,0.000247716
45,753.429,0.82097,0.45529,0.97194,0.99415,1,0.995,0.74346,1.06371,0.49163,1.22339,0.00021471,0.00021471,0.00021471
46,768.4,0.84024,0.45186,1.01251,0.99395,1,0.995,0.76465,1.01945,0.47281,1.22262,0.000181703,0.000181703,0.000181703
47,783.245,0.79508,0.44287,0.99687,0.99399,1,0.995,0.76729,1.00181,0.47288,1.2212,0.000148696,0.000148696,0.000148696
48,799.285,0.80111,0.43465,0.98576,0.99491,1,0.995,0.75854,0.98834,0.45464,1.22367,0.00011569,0.00011569,0.00011569
49,815.922,0.79635,0.42799,0.98934,0.99551,1,0.995,0.76706,0.98089,0.45089,1.22369,8.26832e-05,8.26832e-05,8.26832e-05
50,831.126,0.77273,0.45674,0.97085,0.9959,1,0.995,0.78038,0.9804,0.46354,1.22667,4.96766e-05,4.96766e-05,4.96766e-05
