epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.92486,2.53123,8.63625,2.39842,0.00197,0.325,0.00228,0.00096,2.39006,5.0482,1.9163,0.00021671,0.00021671,0.00021671
2,15.1304,2.40819,4.64484,2.35461,0.50761,0.125,0.0056,0.00104,3.04084,9.7448,2.50629,0.000445634,0.000445634,0.000445634
3,22.1833,2.33503,4.16837,2.21738,0.00336,0.1,0.00233,0.00072,3.93659,10.2158,3.00668,0.000669937,0.000669937,0.000669937
4,29.0562,2.47309,3.76237,2.3999,0.00307,0.225,0.00232,0.00064,3.99025,15.611,3.46002,0.00088962,0.00088962,0.00088962
5,35.9696,2.43618,4.53342,2.35315,0.00436,0.175,0.00346,0.0009,4.69325,171.109,4.5139,0.00110468,0.00110468,0.00110468
6,42.9637,2.21483,3.51662,2.279,0,0,0,0,5.61594,inf,8.88477,0.00131512,0.00131512,0.00131512
7,49.7863,2.0049,3.10479,2.25132,0,0,0,0,4.83571,inf,5.50139,0.00152094,0.00152094,0.00152094
8,57.1153,2.00906,3.21095,2.25261,0.00465,0.3,0.01306,0.00187,4.12338,4.68676,3.80721,0.00155148,0.00155148,0.00155148
9,64.7721,1.84151,3.14421,2.19475,0,0,0,0,5.65337,568.303,11.1704,0.00153497,0.00153497,0.00153497
10,72.6116,2.17108,3.37224,2.30018,0,0,0,0,4.50965,6.03814,4.21347,0.00151847,0.00151847,0.00151847
11,80.7445,2.46855,3.44416,2.48789,0,0,0,0,3.88887,4.6361,3.56364,0.00150197,0.00150197,0.00150197
12,89.3888,2.19323,3.13253,2.28874,0.0154,0.475,0.1537,0.0329,3.72869,4.11754,3.34522,0.00148546,0.00148546,0.00148546
13,98.054,2.20773,3.07083,2.35356,0.0306,0.475,0.0976,0.02446,4.01412,4.15491,3.44784,0.00146896,0.00146896,0.00146896
14,107.224,1.98754,2.84747,2.27368,0.0263,0.35,0.05505,0.01633,4.00517,4.47776,3.49962,0.00145246,0.00145246,0.00145246
15,116.596,2.01893,2.8387,2.14496,0.03261,0.225,0.02889,0.00956,3.78871,4.19778,3.35833,0.00143595,0.00143595,0.00143595
16,125.911,2.0334,2.66924,2.27299,0.01783,0.15,0.02054,0.0064,4.06007,4.00839,3.45312,0.00141945,0.00141945,0.00141945
17,134.743,2.17022,2.96632,2.31148,0.02185,0.425,0.06192,0.0136,4.22773,3.97616,3.45344,0.00140295,0.00140295,0.00140295
18,144.25,1.78278,2.68084,2.0934,0.0616,0.2,0.03531,0.00615,3.64013,3.52498,3.25516,0.00138644,0.00138644,0.00138644
19,154.834,1.75038,2.50175,2.03785,0.04774,0.225,0.04108,0.00823,3.63037,4.08905,3.17834,0.00136994,0.00136994,0.00136994
20,165.367,1.822,2.59164,2.12203,0.17238,0.225,0.09159,0.01799,3.4467,4.24204,2.99599,0.00135344,0.00135344,0.00135344
21,174.703,2.05031,2.5828,2.30112,0.04308,0.175,0.03383,0.00852,3.4428,3.58622,2.94772,0.00133693,0.00133693,0.00133693
22,185.413,1.79157,2.43321,2.11968,0.03853,0.025,0.01033,0.00362,3.71142,5.29535,3.09931,0.00132043,0.00132043,0.00132043
23,196.366,1.81305,2.44998,2.06962,0.12579,0.05,0.03003,0.01101,3.7109,4.80923,3.15463,0.00130393,0.00130393,0.00130393
24,206.526,1.66974,2.40635,2.0382,0.07711,0.1,0.05151,0.01783,3.68683,4.07048,2.74439,0.00128742,0.00128742,0.00128742
25,216.989,1.84564,2.63551,2.06931,0.04203,0.15,0.0158,0.00499,3.80901,4.64031,2.2644,0.00127092,0.00127092,0.00127092
