epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3695,2.75983,8.00589,2.56917,0.00201,0.2,0.00144,0.00055,2.74413,8.39893,2.1946,0.00021671,0.00021671,0.00021671
2,35.048,2.35053,4.7605,2.50237,0.52881,0.15,0.01889,0.00296,3.14181,11.7651,2.8909,0.000447862,0.000447862,0.000447862
3,46.6934,2.18717,3.98693,2.4518,0.00025,0.075,0.00015,5e-05,3.3135,41.488,3.19434,0.000676704,0.000676704,0.000676704
4,58.9876,2.36602,3.82512,2.52787,0.00107,0.025,0.00057,0.00017,3.44417,49.4202,5.39137,0.000903235,0.000903235,0.000903235
5,70.7225,2.24475,3.7542,2.51385,0.00952,0.15,0.00909,0.00164,3.28443,36.1123,5.60761,0.00112746,0.00112746,0.00112746
6,82.4377,2.29461,3.43484,2.54254,0,0,0,0,4.00064,85.2614,7.14149,0.00134937,0.00134937,0.00134937
7,95.3869,2.43671,3.43352,2.77155,0.00031,0.025,0.00017,2e-05,4.78425,177.045,4.62215,0.00156897,0.00156897,0.00156897
8,107.987,2.39335,3.91627,2.68905,0.00011,0.025,6e-05,1e-05,3.858,57.0763,2.99887,0.00160924,0.00160924,0.00160924
9,120.954,2.77145,4.05978,2.98304,0,0,0,0,4.50854,215.162,4.3656,0.00160099,0.00160099,0.00160099
10,134.416,2.48787,3.50601,2.75517,0,0,0,0,4.46571,160.46,4.72842,0.00159274,0.00159274,0.00159274
11,148.159,2.4048,3.45748,2.74252,0,0,0,0,4.61374,5.87355,4.76802,0.00158448,0.00158448,0.00158448
12,161.184,2.06757,3.04697,2.57981,0.00131,0.075,0.00081,0.00028,4.02407,260.683,3.22214,0.00157623,0.00157623,0.00157623
13,173.223,2.19229,3.07144,2.55099,0.00947,0.1,0.00811,0.00167,4.0944,7.14544,3.09321,0.00156798,0.00156798,0.00156798
14,185.994,2.12216,2.98092,2.56597,0,0,0,0,3.7584,9.35247,2.9986,0.00155973,0.00155973,0.00155973
15,199.199,2.12249,3.01375,2.58423,0.00105,0.025,0.00058,0.00023,3.87581,6.55774,2.9616,0.00155148,0.00155148,0.00155148
16,212.89,1.9359,3.03522,2.46479,0,0,0,0,4.36125,6.18646,3.88604,0.00154323,0.00154323,0.00154323
17,227.016,2.12729,2.89422,2.57735,0,0,0,0,4.38225,6.62961,3.93087,0.00153497,0.00153497,0.00153497
18,242.773,2.03433,2.90786,2.52087,0,0,0,0,4.24219,6.94636,3.53498,0.00152672,0.00152672,0.00152672
19,257.293,2.20428,3.17022,2.67328,0,0,0,0,4.49572,8.18993,3.73143,0.00151847,0.00151847,0.00151847
20,271.918,2.00168,2.90071,2.44294,0.00301,0.025,0.00166,0.00033,4.59,6.24162,3.69585,0.00151022,0.00151022,0.00151022
21,285.969,2.18287,3.03205,2.48682,0,0,0,0,4.56414,7.49125,3.85467,0.00150197,0.00150197,0.00150197
22,300.569,2.12449,2.78517,2.59743,9e-05,0.025,5e-05,1e-05,3.98587,7.21451,3.17403,0.00149372,0.00149372,0.00149372
