epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5736,1.60348,4.32246,1.48758,0.0382,0.22607,0.0444,0.03616,0.79837,3.25648,0.84287,5.421e-05,5.421e-05,5.421e-05
2,38.7735,1.34862,2.91991,1.34652,0.06958,0.30466,0.08091,0.06422,0.87574,2.84633,0.84321,0.000111475,0.000111475,0.000111475
3,60.053,1.10068,2.29918,1.18737,0.22005,0.17816,0.10298,0.08507,0.6984,3.37052,0.82035,0.000167585,0.000167585,0.000167585
4,82.7678,1.00594,1.94654,1.1358,0.2447,0.25242,0.15945,0.13255,0.68437,2.98306,0.82305,0.000222538,0.000222538,0.000222538
5,106.707,0.94743,1.7185,1.11145,0.6281,0.27408,0.25916,0.2186,0.6298,2.35348,0.81709,0.000276336,0.000276336,0.000276336
6,131.812,0.96909,1.60677,1.10514,0.45377,0.41055,0.40227,0.33241,0.6852,1.99301,0.82263,0.000328978,0.000328978,0.000328978
7,157.023,0.93678,1.40885,1.1062,0.32654,0.60109,0.46057,0.38188,0.67304,1.60431,0.8224,0.000380463,0.000380463,0.000380463
8,182.368,0.93599,1.36489,1.10525,0.41284,0.63362,0.50956,0.43777,0.58213,1.29192,0.81,0.000388102,0.000388102,0.000388102
9,208.634,0.95833,1.29228,1.1166,0.4788,0.68461,0.58093,0.49337,0.60847,1.05806,0.80941,0.000383974,0.000383974,0.000383974
10,233.203,0.94983,1.2233,1.11564,0.62159,0.63938,0.60521,0.51682,0.57079,0.99533,0.8089,0.000379845,0.000379845,0.000379845
11,259.133,0.89785,1.15203,1.06981,0.6263,0.6692,0.61883,0.51767,0.63787,0.87854,0.81354,0.000375717,0.000375717,0.000375717
12,286.117,0.8363,1.05413,1.06466,0.62703,0.66436,0.64766,0.54958,0.59113,0.77461,0.8082,0.000371589,0.000371589,0.000371589
13,314.382,0.88559,1.06401,1.08772,0.70391,0.70472,0.68596,0.5765,0.61229,0.65257,0.81254,0.00036746,0.00036746,0.00036746
14,339.534,0.87515,1.04569,1.05224,0.69525,0.73272,0.71022,0.59555,0.60608,0.62335,0.81043,0.000363332,0.000363332,0.000363332
15,364.37,0.87147,0.99752,1.08687,0.70833,0.73845,0.71718,0.60469,0.59451,0.61933,0.80916,0.000359204,0.000359204,0.000359204
16,389.564,0.83354,0.93657,1.06162,0.65373,0.78238,0.74863,0.63028,0.6141,0.61461,0.81263,0.000355076,0.000355076,0.000355076
17,416.571,0.81492,0.91459,1.05797,0.74061,0.77407,0.74593,0.63417,0.5824,0.57861,0.80868,0.000350947,0.000350947,0.000350947
18,444.71,0.86943,0.95027,1.09547,0.62182,0.74494,0.74828,0.63973,0.56982,0.6587,0.80738,0.000346819,0.000346819,0.000346819
19,473.461,0.7839,0.86786,1.04159,0.66084,0.7647,0.75818,0.65423,0.53892,0.60022,0.80366,0.000342691,0.000342691,0.000342691
20,500.636,0.79552,0.8446,1.05293,0.72192,0.73354,0.76858,0.65728,0.55662,0.53689,0.80515,0.000338562,0.000338562,0.000338562
21,529.899,0.76794,0.8239,1.03657,0.65869,0.78134,0.76684,0.65888,0.53795,0.59148,0.80366,0.000334434,0.000334434,0.000334434
22,559.288,0.76569,0.79948,1.02786,0.66063,0.83589,0.79093,0.67269,0.55581,0.54299,0.80555,0.000330306,0.000330306,0.000330306
23,586.575,0.78185,0.84093,1.03535,0.70768,0.82133,0.79959,0.68223,0.53946,0.53631,0.80359,0.000326177,0.000326177,0.000326177
24,613.67,0.78346,0.80352,1.0282,0.74365,0.77207,0.81168,0.68748,0.55016,0.53669,0.80435,0.000322049,0.000322049,0.000322049
25,640.785,0.75648,0.78049,1.01421,0.7106,0.83504,0.80827,0.6862,0.57063,0.53022,0.80626,0.000317921,0.000317921,0.000317921
26,668.386,0.77058,0.7877,1.03491,0.72937,0.81659,0.81131,0.6925,0.52404,0.60109,0.80278,0.000313792,0.000313792,0.000313792
27,695.472,0.74789,0.7478,1.01213,0.738,0.84937,0.83742,0.71142,0.53441,0.48252,0.8041,0.000309664,0.000309664,0.000309664
28,724.723,0.77454,0.76707,1.03981,0.76404,0.82178,0.8471,0.71681,0.57247,0.45578,0.80743,0.000305536,0.000305536,0.000305536
29,754.483,0.75082,0.76175,1.03802,0.77727,0.85651,0.86118,0.73511,0.52893,0.45818,0.80277,0.000301408,0.000301408,0.000301408
30,782.538,0.77248,0.76449,1.04688,0.8147,0.85917,0.86754,0.72557,0.56107,0.46815,0.8045,0.000297279,0.000297279,0.000297279
31,812.07,0.79078,0.77552,1.05426,0.81867,0.85571,0.86881,0.72142,0.58891,0.46037,0.80703,0.000293151,0.000293151,0.000293151
32,839.318,0.74292,0.71736,1.00694,0.87491,0.84047,0.88519,0.741,0.54738,0.43101,0.80498,0.000289023,0.000289023,0.000289023
33,866.321,0.75172,0.71305,1.01082,0.86693,0.86006,0.89902,0.75469,0.5496,0.43353,0.80516,0.000284894,0.000284894,0.000284894
34,893.474,0.71463,0.69539,1.00098,0.92213,0.85556,0.91786,0.7763,0.53479,0.39833,0.80364,0.000280766,0.000280766,0.000280766
