epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.202,2.18916,6.46453,1.94744,0,0,0,0,0.86338,5.69231,1.10321,2.142e-05,2.142e-05,2.142e-05
2,612.097,1.96025,4.86357,1.80612,0.02588,0.0136,0.01431,0.01201,0.94476,4.86219,0.98318,4.59505e-05,4.59505e-05,4.59505e-05
3,927.909,1.69182,3.97367,1.63185,0.04335,0.06629,0.03136,0.02538,0.9465,3.64269,0.92183,6.99863e-05,6.99863e-05,6.99863e-05
4,1243.05,1.60963,3.5931,1.57842,0.03245,0.12025,0.03027,0.024,0.94699,3.2571,0.91681,9.35272e-05,9.35272e-05,9.35272e-05
5,1540.9,1.52668,3.27461,1.47778,0.03837,0.20718,0.04467,0.03616,0.89459,3.05415,0.90629,0.000116573,0.000116573,0.000116573
6,1856.15,1.52794,3.02733,1.51918,0.04316,0.22905,0.05472,0.04391,0.84888,2.98189,0.88567,0.000139125,0.000139125,0.000139125
7,2162.19,1.34696,2.7693,1.39728,0.04755,0.23274,0.06508,0.0546,0.7274,2.91366,0.84732,0.000161181,0.000161181,0.000161181
8,2475.07,1.37461,2.62707,1.41481,0.10138,0.27073,0.10561,0.08639,0.78167,2.70929,0.85286,0.000182743,0.000182743,0.000182743
9,2770.13,1.37415,2.55137,1.42865,0.11132,0.31734,0.13177,0.10965,0.7618,2.78463,0.84393,0.00020381,0.00020381,0.00020381
10,3079.62,1.31026,2.40847,1.37237,0.12778,0.3023,0.14429,0.12567,0.70557,2.56515,0.83579,0.000224382,0.000224382,0.000224382
11,3395.45,1.29796,2.29226,1.3466,0.11133,0.33171,0.15202,0.12728,0.75105,2.67421,0.84225,0.000244459,0.000244459,0.000244459
12,3702.24,1.27277,2.19028,1.34942,0.08487,0.39407,0.16689,0.14175,0.69761,2.23691,0.83972,0.000264042,0.000264042,0.000264042
13,4009.31,1.3159,2.17571,1.35983,0.60604,0.18035,0.16189,0.13785,0.69459,2.25411,0.8371,0.00028313,0.00028313,0.00028313
14,4314.95,1.26238,2.03495,1.33825,0.47653,0.22346,0.15261,0.13206,0.66895,2.4264,0.83557,0.000301722,0.000301722,0.000301722
15,4612.32,1.24582,1.94677,1.31574,0.54282,0.2519,0.22631,0.19653,0.6589,1.96587,0.83361,0.00030752,0.00030752,0.00030752
16,4912,1.27459,1.92908,1.3287,0.40057,0.28455,0.22543,0.19727,0.62933,2.16503,0.82949,0.000303986,0.000303986,0.000303986
17,5211.88,1.17067,1.79453,1.24894,0.39855,0.29937,0.2278,0.19928,0.61898,2.05036,0.82885,0.000300451,0.000300451,0.000300451
18,5503.48,1.18851,1.74725,1.27424,0.39696,0.27565,0.23221,0.19914,0.64156,1.95009,0.83477,0.000296917,0.000296917,0.000296917
19,5797.15,1.17482,1.68105,1.23352,0.11747,0.41065,0.1707,0.14601,0.64066,2.50712,0.8441,0.000293383,0.000293383,0.000293383
20,6097.28,1.25605,1.71529,1.32018,0.31507,0.36865,0.2515,0.21656,0.63032,1.96244,0.84586,0.000289848,0.000289848,0.000289848
21,6426.19,1.19514,1.61968,1.2519,0.44385,0.37136,0.30783,0.26526,0.63411,1.64764,0.84422,0.000286314,0.000286314,0.000286314
22,6725.19,1.11664,1.50888,1.20234,0.37818,0.40332,0.37225,0.32063,0.63492,1.47339,0.84037,0.00028278,0.00028278,0.00028278
23,7040.13,1.13093,1.50757,1.22921,0.3416,0.44121,0.38044,0.32836,0.64216,1.43585,0.83892,0.000279245,0.000279245,0.000279245
24,7337.79,1.0803,1.44461,1.19338,0.43542,0.41061,0.41804,0.3634,0.61086,1.30874,0.83258,0.000275711,0.000275711,0.000275711
25,7621.07,1.15457,1.42931,1.23976,0.47966,0.42754,0.43172,0.37402,0.61981,1.25883,0.83423,0.000272177,0.000272177,0.000272177
26,7925.69,1.08886,1.34284,1.17868,0.52027,0.42956,0.42898,0.36583,0.66505,1.28951,0.83999,0.000268642,0.000268642,0.000268642
27,8240.59,1.08026,1.36449,1.19297,0.5714,0.41746,0.44685,0.38798,0.6147,1.15224,0.83543,0.000265108,0.000265108,0.000265108
28,8533.13,1.09353,1.33902,1.19473,0.60016,0.42506,0.46215,0.39799,0.65069,1.102,0.84133,0.000261574,0.000261574,0.000261574
29,8827.98,1.09815,1.32216,1.21139,0.50012,0.44733,0.4723,0.40394,0.66801,1.10258,0.84319,0.00025804,0.00025804,0.00025804
30,9119.76,1.11609,1.31242,1.19708,0.49368,0.42188,0.45289,0.38898,0.64483,1.25058,0.8434,0.000254505,0.000254505,0.000254505
31,9410,1.12582,1.32617,1.23156,0.4989,0.43913,0.45616,0.39232,0.63228,1.13949,0.84154,0.000250971,0.000250971,0.000250971
32,9716.51,1.11341,1.30611,1.21597,0.44694,0.4457,0.45341,0.38709,0.64857,1.17197,0.83997,0.000247437,0.000247437,0.000247437
33,10027.2,1.06782,1.2559,1.17647,0.84743,0.38804,0.46581,0.39917,0.643,1.0526,0.83718,0.000243902,0.000243902,0.000243902
34,10324.5,1.05485,1.21353,1.17025,0.89061,0.39573,0.48339,0.41385,0.64729,0.95204,0.83681,0.000240368,0.000240368,0.000240368
35,10627.2,1.09453,1.22853,1.19238,0.47586,0.49059,0.47441,0.40826,0.64017,1.00378,0.83767,0.000236834,0.000236834,0.000236834
36,10935.3,1.05539,1.1828,1.16588,0.47232,0.49722,0.47295,0.41052,0.60903,1.03419,0.83464,0.000233299,0.000233299,0.000233299
37,11247.3,1.09273,1.22838,1.21115,0.52523,0.49623,0.48944,0.42426,0.61104,0.9488,0.83363,0.000229765,0.000229765,0.000229765
38,11574,1.01091,1.16289,1.16359,0.66229,0.45256,0.50304,0.43189,0.64068,0.87173,0.83635,0.000226231,0.000226231,0.000226231
39,11874.6,1.0572,1.16796,1.16943,0.52936,0.49283,0.5083,0.44142,0.59914,0.81249,0.83107,0.000222697,0.000222697,0.000222697
40,12171.1,1.06238,1.16485,1.18658,0.50057,0.57064,0.51301,0.44033,0.61956,0.75853,0.83355,0.000219162,0.000219162,0.000219162
41,12479.2,1.06139,1.15601,1.16219,0.47907,0.55996,0.5121,0.438,0.63554,0.77913,0.83668,0.000215628,0.000215628,0.000215628
42,12768.2,1.07221,1.15649,1.18992,0.49819,0.55633,0.50869,0.4411,0.60902,0.81302,0.83572,0.000212094,0.000212094,0.000212094
43,13057.1,0.97231,1.07901,1.115,0.41251,0.55718,0.51125,0.4476,0.58559,0.78524,0.83331,0.000208559,0.000208559,0.000208559
44,13348,0.99927,1.09887,1.14332,0.45077,0.56793,0.51561,0.44854,0.60936,0.76138,0.8363,0.000205025,0.000205025,0.000205025
45,13655.5,0.96948,1.05656,1.1122,0.41501,0.59551,0.51901,0.45065,0.61147,0.74523,0.83482,0.000201491,0.000201491,0.000201491
46,13932.1,1.00033,1.07073,1.13015,0.4243,0.60825,0.51594,0.44815,0.60881,0.72293,0.83481,0.000197957,0.000197957,0.000197957
47,14232.6,0.99056,1.06528,1.11684,0.41751,0.5937,0.51881,0.44704,0.63631,0.71485,0.83832,0.000194422,0.000194422,0.000194422
48,14535.1,1.0129,1.09348,1.13856,0.41724,0.60887,0.5178,0.44777,0.62465,0.70299,0.8379,0.000190888,0.000190888,0.000190888
49,14830.5,1.02542,1.08461,1.15666,0.3986,0.59458,0.51881,0.45052,0.60911,0.70376,0.83659,0.000187354,0.000187354,0.000187354
